time_start,name,goal,backer_number,created_by,period,total_mount,tag,location,time_end,comments
"Jun 6, 2016","MICA: Custom designed watches using leather, wood, & steel","$25,000","
744
","
Mica Movement
",40,"$103,153","
Accessories
","
Phoenix, AZ
","Jul 16, 2016",148
"Jan 5, 2016",The World's Lightest & Smartest E-Scooter  - ZAR,"$50,000","
541
","
Crazyfire Technology
",45,"$176,524","
Hardware
","
San Jose, CA
","Feb 19, 2016",2503
"Sep 14, 2016",Cloop XL - Magnetic Cable Keeper 2.0,"$10,000","
1,989
","
Cloop
",30,"$72,256","
Product Design
","
Denver, CO
","Oct 14, 2016",142
"Jul 6, 2016",Engaged By The Harbor- Our Debut Album!,"$3,000","
40
","
Harbor Drive Hookup
",31,"$3,550","
Music
","
St. Cloud, MN
","Aug 6, 2016",0
"Jun 15, 2016",MacroBoom || The Most Rugged Solar Speakers On Earth,"$24,000","
694
","
SOS PowerBank
",41,"$110,449","
Technology
","
Sundance, UT
","Jul 26, 2016",287
"Aug 3, 2016",KeyMAX™- Push Button Key Ring - 22 Function Multi-Tool EDC,$999,"
78
","
Creative TV llc
",55,"$4,125","
Product Design
","
Huntington Beach, CA
","Sep 27, 2016",6
"Aug 29, 2016",Sansaire Delta: Make Perfect Cooking Even Easier,"$100,000","
1,314
","
Sansaire
",30,"$256,804","
Food
","
Seattle, WA
","Sep 28, 2016",124
"Mar 26, 2016","Ultra-Tiny Epic Kingdoms, Board Game in a Card Box","$10,000","
5,119
","
Gamelyn Games
",7,"$98,409","
Tabletop Games
","
Phoenix, AZ
","Apr 2, 2016",845
"Nov 1, 2016",LET'S BE CLEAR - Consent looks good on everyone.,"$25,000","
249
","
Let's Be Clear
",35,"$25,924","
Apparel
","
Boston, MA
","Dec 6, 2016",7
"Aug 22, 2016",A Foretold Affair,"$1,500","
111
","
GB Patch
",25,"$2,969","
Video Games
","
Idaho Falls, ID
","Sep 16, 2016",11
time_start,name,goal,backer_number,created_by,period,total_mount,tag,location,time_end,comments
"Mar 26, 2016","Ultra-Tiny Epic Kingdoms, Board Game in a Card Box","$10,000","
5,119
","
Gamelyn Games
",7,"$98,409","
Tabletop Games
","
Phoenix, AZ
","Apr 2, 2016",845
"Nov 13, 2016","Russian Folk Art ""Limited Edition"" Playing Cards","$6,000","
224
","
Natalia Silva
",23,"$6,498","
Playing Cards
","
Los Angeles, CA
","Dec 6, 2016",17
"Sep 14, 2016",Cloop XL - Magnetic Cable Keeper 2.0,"$10,000","
1,989
","
Cloop
",30,"$72,256","
Product Design
","
Denver, CO
","Oct 14, 2016",142
"Jun 15, 2016",MacroBoom || The Most Rugged Solar Speakers On Earth,"$24,000","
694
","
SOS PowerBank
",41,"$110,449","
Technology
","
Sundance, UT
","Jul 26, 2016",287
"Aug 3, 2016",KeyMAX™- Push Button Key Ring - 22 Function Multi-Tool EDC,$999,"
78
","
Creative TV llc
",55,"$4,125","
Product Design
","
Huntington Beach, CA
","Sep 27, 2016",6
"Oct 18, 2016",Vizkidz: A Series Of Books On Data Visualization For Kids,"$15,000","
186
","
Liv Buli
",30,"$15,983","
Children's Books
","
Brooklyn, NY
","Nov 17, 2016",4
"Jul 7, 2016",TRAK - Titanium Runner's Anywhere Knife,"$1,500","
1,180
","
TRAK Team
",30,"$62,779","
Design
","
Boston, MA
","Aug 6, 2016",151
"Aug 3, 2016",JOEY – The backpack that gives your body a break.,"$20,000","
1,345
","
Koala-Gear
",40,"$233,656","
Product Design
","
New York, NY
","Sep 12, 2016",227
"Jan 5, 2016",The World's Lightest & Smartest E-Scooter  - ZAR,"$50,000","
541
","
Crazyfire Technology
",45,"$176,524","
Hardware
","
San Jose, CA
","Feb 19, 2016",2503
